2019/2020;8;Si;8;3;;No;Servizio integrativo;La casetta dei cuccioli di Snaidero Jessica;8307627ZOJEGRKLJ;COLLOREDO DI MONTE ALBANO;Piazza del Tiglio;Attivo;7;33010;Attivo;4.1 San Daniele del Friuli;7|COLLOREDO DI MONTE ALBANO|Piazza del Tiglio;Piazza del Tiglio 7 COLLOREDO DI MONTE ALBANO
2019/2020;16;Si;16;11;2;Si;Nido d'infanzia;Nido d'Infanzia aziendale I cuccioli della scienza;AQO85YACFAZJGCDS;TRIESTE;c/o Area Science Park- Comprensorio Padriciano- Edificio P-PT Padriciano ;Attivo;99;34149;Attivo;1.2 Trieste;99|TRIESTE|c/o Area Science Park- Comprensorio Padriciano- Edificio P-PT Padriciano ;c/o Area Science Park- Comprensorio Padriciano- Edificio P-PT Padriciano  99 TRIESTE
2019/2020;35;Si;35;27;3;Si;Nido d'infanzia;Asilo Nido Arcobaleno;KM3Q1BZ8KE9KTY7Q;MANIAGO;Via Virgilio ;Attivo;24;33085;Attivo;6.4 Maniago;24|MANIAGO|Via Virgilio ;Via Virgilio  24 MANIAGO
2019/2020;48;Si;48;6;2;Si;Nido d'infanzia;"Nido d'infanzia ""L'arca del Bebè""";OCE76R9PU0AMPBSC;RONCHI DEI LEGIONARI;Via G.Marconi;Attivo;3/A;34077;Attivo;2.2 Basso Isontino;3/A|RONCHI DEI LEGIONARI|Via G.Marconi;Via G.Marconi 3/A RONCHI DEI LEGIONARI
2019/2020;28;No;28;;2;Si;Nido d'infanzia;Asilo Nido Alberazzurro;U2L6Z48DOX0E9YWM;BRUGNERA;VIA SS TRINITA' 87;Attivo;87;33070;Attivo;6.1 Sacile;87|BRUGNERA|VIA SS TRINITA' 87;VIA SS TRINITA' 87 87 BRUGNERA
2019/2020;24;No;21;;2;Si;Nido d'infanzia;Nido Maria Bambina;0HJOI7CLOJ7W4Z2V;SAN GIORGIO DI NOGARO;Via Paolo Diacono;Attivo;22;33058;Attivo;5.2 Latisana;22|SAN GIORGIO DI NOGARO|Via Paolo Diacono;Via Paolo Diacono 22 SAN GIORGIO DI NOGARO
2019/2020;32;Si;29;5;;No;Nido d'infanzia;Nido Integrato Aquilone-Scuola materna Maria Bambina;GBQKLPUJGBH3ZV2F;SACILE;PIAZZA DUOMO ;Attivo;8;33077;Attivo;6.1 Sacile;8|SACILE|PIAZZA DUOMO ;PIAZZA DUOMO  8 SACILE
2019/2020;5;No;5;;;No;Servizio integrativo;il ciliegio;ABQYCXV1G2F3WATM;TRIESTE;via del Marcese;Attivo;29;34149;Attivo;1.2 Trieste;29|TRIESTE|via del Marcese;via del Marcese 29 TRIESTE
2019/2020;32;No;19;;;No;Nido d'infanzia;"Asilo Nido ""Marameo""";NMIGQ0IP0D08QF21;PASIAN DI PRATO;Via Asilo -  frazione Colloredo di Prato;Attivo;11;33030;Attivo;4.5 Udine;11|PASIAN DI PRATO|Via Asilo -  frazione Colloredo di Prato;Via Asilo -  frazione Colloredo di Prato 11 PASIAN DI PRATO
2019/2020;32;No;14;;;No;Nido d'infanzia;Nido d’infanzia integrato Italica Spes;Y0ZAMLSVWCXTHES6;SESTO AL REGHENA;via Giotto di Bondone;Attivo;44;33079;Attivo;6.2 San Vito al Tagliamento;44|SESTO AL REGHENA|via Giotto di Bondone;via Giotto di Bondone 44 SESTO AL REGHENA
