CODICE_STRUTTURA;INDIRIZZO_FORMATTATO;LAT;LON
WSDJ8WWT4PUYWJK8;Via Valmaura, 69, 34148 Trieste TS, Italy;45.620747;13.786324;
AKW3WCJO6H5D1FN4;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
ANVM0OVQ9596I75N;Via S. Francesco D'Assisi, 34, 34133 Trieste TS, Italy;45.654053;13.780781;
002ATCFD7NRNE97U;Via Terra Rossa, 34070 Fogliano Redipuglia GO, Italy;45.847824;13.482193;
QKR8KXL0ZB628UT0;Via Pietro Valdoni, 1, 34149 Trieste TS, Italy;45.63463;13.829505;
AJ9ZL8J7FWRWZVTH;Via Largo Giambattista Niccolini, 5, 34129 Trieste TS, Italy;45.64714;13.783964;
F4L902YE5DIPPFP2;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
VZNQN3UT4B8G6C4G;Via Tigor, 24, 34124 Trieste TS, Italy;45.64444;13.76565;
96G6U9F4PA2FQJNF;Via Paolo Veronese, 14, 34144 Trieste TS, Italy;45.64272;13.774845;
HSGBEPZ6ZEDIRAVD;Strada Campagne, 33077 Sacile PN, Italy;45.933388;12.495469;
8ZEP50X7V9M5YGHM;Via Tigor, 24, 34124 Trieste TS, Italy;45.64444;13.76565;
2QA3ORWQNJ2RVLV2;Via Gerolamo Frescobaldi, 35, 34148 Trieste TS, Italy;45.625683;13.804867;
EO7GTZ85WR139080;Via S. Nazario, 73, 34151 Trieste TS, Italy;45.70236;13.738251;
YVCEIAUSITQNC9M2;Via di Caboro, 2, 34121 Trieste TS, Italy;45.64868;13.77394;
N8BVYA2ZRBZTRAJQ;Via Paolo Veronese, 14, 34144 Trieste TS, Italy;45.64272;13.774845;
D2BV3I1QXTSZ8YPQ;Via Commerciale, 164, 34134 Trieste TS, Italy;45.665333;13.786476;
MGAZSF321QG9X2MH;Vicolo dell'Edera, 1, 34127 Trieste TS, Italy;45.656807;13.790467;
7YYJNF6S6SW0DZX8;Via Cancelleria Vecchia, 5, 34071 Cormons GO, Italy;45.960613;13.471878;
PC6VP1AIQJ44X3ZD;Via Ilaria Alpi, 3/1, 33082 Azzano Decimo PN, Italy;45.891895;12.6975;
2Q39MAEO1MUHHN2F;Via Eugenio Curiel, 2, 34148 Trieste TS, Italy;45.619328;13.825722;
1S4N5QJXJYCTXPTF;Autostrade SpA Italy, Strada St., 13, 33010 Tavagnacco UD, Italy;46.110382;13.205976;
QHE2WINU9LVD12PQ;Via Valmaura, 69, 34148 Trieste TS, Italy;45.620747;13.786324;
V3L1ORVYQVCUCZK6;Via Cesare Battisti, 33010 Colugna UD, Italy;46.09453;13.201273;
